0 {'s3': 100.0, 's2': 0.0, 's1': 50.0, 's4': 10.0}
212 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
213 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
214 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
215 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
216 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
217 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
218 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
219 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
220 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
221 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
222 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
223 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
224 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
225 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
226 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
227 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
228 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
229 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
230 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
231 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
232 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
233 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
234 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
235 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
236 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
237 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
238 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
239 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
240 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
241 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
242 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
243 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
244 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
245 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
246 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
247 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
